geno	condition	lab	petiole_length
dde2	LP	dde2_LP	0.351 
dde2	LP	dde2_LP	0.616 
dde2	LP	dde2_LP	0.646 
dde2	LP	dde2_LP	0.535 
dde2	LP	dde2_LP	0.345 
dde2	LP	dde2_LP	0.584 
dde2	LP	dde2_LP	0.523 
dde2	LP	dde2_LP	0.282 
dde2	LP	dde2_LP	0.473 
dde2	NC	dde2_NC	0.372 
dde2	NC	dde2_NC	0.487 
dde2	NC	dde2_NC	0.379 
dde2	NC	dde2_NC	0.554 
dde2	NC	dde2_NC	0.618 
dde2	NC	dde2_NC	0.350 
dde2	NC	dde2_NC	0.441 
dde2	NC	dde2_NC	0.459 
dde2	NC	dde2_NC	0.499 
dde2	LPM	dde2_LPM	0.588 
dde2	LPM	dde2_LPM	0.553 
dde2	LPM	dde2_LPM	0.341 
dde2	LPM	dde2_LPM	0.534 
dde2	LPM	dde2_LPM	0.659 
dde2	LPM	dde2_LPM	0.760 
dde2	LPM	dde2_LPM	0.403 
dde2	LPM	dde2_LPM	0.489 
dde2	LPM	dde2_LPM	0.425 
dde2	NCM	dde2_NCM	0.625 
dde2	NCM	dde2_NCM	0.481 
dde2	NCM	dde2_NCM	0.685 
dde2	NCM	dde2_NCM	0.399 
dde2	NCM	dde2_NCM	0.861 
dde2	NCM	dde2_NCM	0.867 
dde2	NCM	dde2_NCM	0.550 
dde2	NCM	dde2_NCM	0.474 
dde2	NCM	dde2_NCM	0.762 
col0	LP	col0_LP	0.504 
col0	LP	col0_LP	0.649 
col0	LP	col0_LP	0.315 
col0	LP	col0_LP	0.352 
col0	LP	col0_LP	0.365 
col0	LP	col0_LP	0.540 
col0	LP	col0_LP	0.579 
col0	LP	col0_LP	0.361 
col0	LP	col0_LP	0.396 
col0	LP	col0_LP	0.332 
col0	LP	col0_LP	0.335 
col0	LP	col0_LP	0.336 
col0	LP	col0_LP	0.388 
col0	LP	col0_LP	0.296 
col0	LP	col0_LP	0.376 
col0	LP	col0_LP	0.236 
col0	LP	col0_LP	0.218 
col0	LP	col0_LP	0.176 
col0	LP	col0_LP	0.255 
col0	LP	col0_LP	0.160 
col0	LP	col0_LP	0.250 
col0	LP	col0_LP	0.230 
col0	LP	col0_LP	0.201 
col0	LP	col0_LP	0.194 
col0	LP	col0_LP	0.448 
col0	LP	col0_LP	0.392 
col0	LP	col0_LP	0.565 
col0	LP	col0_LP	0.576 
col0	LP	col0_LP	0.439 
col0	LP	col0_LP	0.338 
col0	LP	col0_LP	0.357 
col0	LP	col0_LP	0.517 
col0	LP	col0_LP	0.506 
col0	LP	col0_LP	0.466 
col0	LP	col0_LP	0.405 
col0	LP	col0_LP	0.490 
dellap	LP	dellap_LP	0.485 
dellap	LP	dellap_LP	0.387 
dellap	LP	dellap_LP	0.476 
dellap	LP	dellap_LP	0.465 
dellap	LP	dellap_LP	0.433 
dellap	LP	dellap_LP	0.470 
dellap	LP	dellap_LP	0.587 
dellap	LP	dellap_LP	0.309 
dellap	LP	dellap_LP	0.380 
dellap	LP	dellap_LP	0.566 
dellap	LP	dellap_LP	0.343 
dellap	LP	dellap_LP	0.577 
dellap	LP	dellap_LP	0.552 
dellap	LP	dellap_LP	0.437 
dellap	LP	dellap_LP	0.395 
dellap	LP	dellap_LP	0.611 
dellap	LP	dellap_LP	0.477 
dellap	LP	dellap_LP	0.441 
dellap	LP	dellap_LP	0.537 
dellap	LP	dellap_LP	0.544 
dellap	LP	dellap_LP	0.429 
dellap	LP	dellap_LP	0.449 
dellap	LP	dellap_LP	0.418 
dellap	LP	dellap_LP	0.492 
dellap	LP	dellap_LP	0.338 
dellap	LP	dellap_LP	0.546 
dellap	LP	dellap_LP	0.402 
dellap	LPM	dellap_LPM	0.742 
dellap	LPM	dellap_LPM	0.886 
dellap	LPM	dellap_LPM	0.612 
dellap	LPM	dellap_LPM	0.863 
dellap	LPM	dellap_LPM	0.800 
dellap	LPM	dellap_LPM	0.635 
dellap	LPM	dellap_LPM	0.805 
dellap	LPM	dellap_LPM	0.712 
dellap	LPM	dellap_LPM	0.711 
jazq	LP	jazq_LP	0.156 
jazq	LP	jazq_LP	0.168 
jazq	LP	jazq_LP	0.175 
jazq	LP	jazq_LP	0.196 
jazq	LP	jazq_LP	0.197 
jazq	LPM	jazq_LPM	0.200 
jazq	LP	jazq_LP	0.212 
jazq	LP	jazq_LP	0.214 
jazq	LPM	jazq_LPM	0.245 
jazq	LP	jazq_LP	0.248 
jazq	NC	jazq_NC	0.254 
jazq	LP	jazq_LP	0.255 
jazq	NC	jazq_NC	0.256 
jazq	NC	jazq_NC	0.265 
jazq	LPM	jazq_LPM	0.267 
jazq	NCM	jazq_NCM	0.272 
jazq	LP	jazq_LP	0.275 
jazq	NCM	jazq_NCM	0.277 
jazq	NC	jazq_NC	0.278 
jazq	NC	jazq_NC	0.283 
jazq	LP	jazq_LP	0.292 
jazq	LP	jazq_LP	0.293 
jazq	LP	jazq_LP	0.296 
jazq	LPM	jazq_LPM	0.296 
jazq	NC	jazq_NC	0.297 
sid2	LP	sid2_LP	0.377 
sid2	LP	sid2_LP	0.360 
sid2	LP	sid2_LP	0.485 
sid2	LP	sid2_LP	0.471 
sid2	LP	sid2_LP	0.514 
sid2	LP	sid2_LP	0.501 
sid2	LP	sid2_LP	0.447 
sid2	LP	sid2_LP	0.355 
sid2	LP	sid2_LP	0.510 
sid2	LP	sid2_LP	0.528 
sid2	LP	sid2_LP	0.310 
sid2	LP	sid2_LP	0.454 
sid2	LP	sid2_LP	0.470 
sid2	LP	sid2_LP	0.426 
sid2	LP	sid2_LP	0.409 
sid2	LP	sid2_LP	0.338 
sid2	LP	sid2_LP	0.431 
sid2	LP	sid2_LP	0.386 
sid2	LP	sid2_LP	0.370 
sid2	LP	sid2_LP	0.366 
sid2	LP	sid2_LP	0.230 
sid2	LP	sid2_LP	0.320 
sid2	LP	sid2_LP	0.334 
sid2	LP	sid2_LP	0.361 
sid2	LP	sid2_LP	0.379 
sid2	LP	sid2_LP	0.405 
sid2	LP	sid2_LP	0.365 
sid2	LP	sid2_LP	0.417 
sid2	LP	sid2_LP	0.359 
sid2	LP	sid2_LP	0.439 
sid2	LPM	sid2_LPM	0.573 
sid2	LPM	sid2_LPM	0.582 
sid2	LPM	sid2_LPM	0.661 
sid2	LPM	sid2_LPM	0.744 
sid2	LPM	sid2_LPM	0.305 
sid2	LPM	sid2_LPM	0.693 
sid2	LPM	sid2_LPM	0.341 
sid2	LPM	sid2_LPM	0.477 
sid2	LPM	sid2_LPM	0.567 
sid2	LPM	sid2_LPM	0.666 
sid2	LPM	sid2_LPM	0.591 
sid2	LPM	sid2_LPM	0.543 
sid2	LPM	sid2_LPM	0.679 
sid2	LPM	sid2_LPM	0.638 
sid2	LPM	sid2_LPM	0.561 
sid2	LPM	sid2_LPM	0.709 
sid2	LPM	sid2_LPM	0.592 
sid2	LPM	sid2_LPM	0.597 
dde2	NC	dde2_NC	1.014 
dde2	NC	dde2_NC	0.786 
dde2	NC	dde2_NC	0.745 
dde2	NC	dde2_NC	0.732 
dde2	NC	dde2_NC	0.505 
dde2	NC	dde2_NC	0.516 
dde2	NC	dde2_NC	1.025 
dde2	NC	dde2_NC	0.382 
dde2	NC	dde2_NC	0.607 
dde2	NC	dde2_NC	0.863 
dde2	NC	dde2_NC	0.527 
dde2	NC	dde2_NC	0.655 
dde2	NCM	dde2_NCM	0.555 
dde2	NCM	dde2_NCM	0.962 
dde2	NCM	dde2_NCM	0.577 
dde2	NCM	dde2_NCM	0.818 
dde2	NCM	dde2_NCM	0.557 
dde2	NCM	dde2_NCM	1.070 
dde2	NCM	dde2_NCM	0.504 
dde2	NCM	dde2_NCM	0.654 
dde2	NCM	dde2_NCM	0.498 
dde2	NCM	dde2_NCM	0.405 
dde2	NCM	dde2_NCM	0.227 
dde2	LPM	dde2_LPM	0.468 
dde2	LPM	dde2_LPM	0.650 
dde2	LPM	dde2_LPM	0.787 
dde2	LPM	dde2_LPM	0.554 
dde2	LPM	dde2_LPM	0.880 
dde2	LPM	dde2_LPM	1.077 
dde2	LPM	dde2_LPM	0.423 
dde2	LPM	dde2_LPM	0.658 
dde2	LPM	dde2_LPM	0.649 
dde2	LPM	dde2_LPM	0.442 
dde2	LPM	dde2_LPM	0.496 
dde2	LPM	dde2_LPM	0.620 
dde2	LP	dde2_LP	0.412 
dde2	LP	dde2_LP	0.206 
dde2	LP	dde2_LP	0.419 
dde2	LP	dde2_LP	0.479 
dde2	LP	dde2_LP	0.573 
dde2	LP	dde2_LP	0.471 
dde2	LP	dde2_LP	0.355 
dde2	LP	dde2_LP	0.504 
dde2	LP	dde2_LP	0.619 
dde2	LP	dde2_LP	0.301 
dde2	LP	dde2_LP	0.393 
dde2	LP	dde2_LP	0.525 
col0	LP	col0_LP	0.391 
col0	LP	col0_LP	0.481 
col0	LP	col0_LP	0.493 
col0	LP	col0_LP	0.457 
col0	LP	col0_LP	0.493 
col0	LP	col0_LP	0.313 
col0	LP	col0_LP	0.466 
col0	LP	col0_LP	0.405 
col0	LP	col0_LP	0.490 
col0	LP	col0_LP	0.391 
col0	LP	col0_LP	0.481 
col0	LP	col0_LP	0.493 
col0	LP	col0_LP	0.457 
col0	LP	col0_LP	0.493 
col0	LP	col0_LP	0.313 
col0	LPM	col0_LPM	0.429 
col0	LPM	col0_LPM	0.440 
col0	LPM	col0_LPM	0.554 
col0	LPM	col0_LPM	0.543 
col0	LPM	col0_LPM	0.524 
col0	LPM	col0_LPM	0.536 
col0	LPM	col0_LPM	0.253 
col0	LPM	col0_LPM	0.381 
col0	LPM	col0_LPM	0.434 
myc2	LP	myc2_LP	0.514 
myc2	LP	myc2_LP	0.318 
myc2	LP	myc2_LP	0.366 
myc2	LP	myc2_LP	0.374 
myc2	LP	myc2_LP	0.483 
myc2	LP	myc2_LP	0.393 
myc2	LP	myc2_LP	0.435 
myc2	LP	myc2_LP	0.449 
myc2	LP	myc2_LP	0.455 
myc2	LP	myc2_LP	0.468 
myc2	LP	myc2_LP	0.486 
myc2	LP	myc2_LP	0.538 
myc2	LP	myc2_LP	0.539 
myc2	LP	myc2_LP	0.568 
myc2	LP	myc2_LP	0.585 
myc2	LP	myc2_LP	0.600 
myc2	LP	myc2_LP	0.615 
myc2	LP	myc2_LP	0.617 
sid2	LPM	sid2_LPM	0.412 
sid2	LPM	sid2_LPM	0.416 
sid2	LPM	sid2_LPM	0.417 
sid2	LPM	sid2_LPM	0.427 
sid2	LPM	sid2_LPM	0.428 
sid2	LPM	sid2_LPM	0.431 
sid2	LPM	sid2_LPM	0.431 
sid2	LPM	sid2_LPM	0.433 
sid2	LPM	sid2_LPM	0.438 
sid2	LPM	sid2_LPM	0.439 
sid2	LPM	sid2_LPM	0.439 
sid2	LPM	sid2_LPM	0.447 
sid2	NC	sid2_NC	0.368 
sid2	NC	sid2_NC	0.471 
sid2	NC	sid2_NC	0.479 
sid2	NC	sid2_NC	0.380 
sid2	NC	sid2_NC	0.483 
sid2	NC	sid2_NC	0.385 
sid2	NC	sid2_NC	0.489 
sid2	NC	sid2_NC	0.291 
sid2	NC	sid2_NC	0.292 
sid2	NC	sid2_NC	0.494 
sid2	NC	sid2_NC	0.600 
sid2	NC	sid2_NC	0.504 
sid2	NC	sid2_NC	0.506 
sid2	NC	sid2_NC	0.513 
sid2	NC	sid2_NC	0.414 
sid2	NC	sid2_NC	0.314 
sid2	NC	sid2_NC	0.515 
sid2	NC	sid2_NC	0.217 
sid2	NC	sid2_NC	0.421 
sid2	NC	sid2_NC	0.521 
sid2	NC	sid2_NC	0.324 
sid2	NC	sid2_NC	0.525 
sid2	NC	sid2_NC	0.329 
sid2	NC	sid2_NC	0.530 
bri1	NC	bri1_NC	0.531 
bri1	NC	bri1_NC	0.532 
bri1	NC	bri1_NC	0.533 
bri1	NC	bri1_NC	0.535 
bri1	NC	bri1_NC	0.547 
bri1	NC	bri1_NC	0.549 
bri1	NC	bri1_NC	0.549 
bri1	NC	bri1_NC	0.563 
bri1	NC	bri1_NC	0.564 
bri1	LP	bri1_LP	0.567 
bri1	LP	bri1_LP	0.573 
bri1	LP	bri1_LP	0.573 
bri1	LP	bri1_LP	0.573 
bri1	LP	bri1_LP	0.584 
bri1	LP	bri1_LP	0.586 
bri1	LP	bri1_LP	0.591 
bri1	LP	bri1_LP	0.592 
bri1	LP	bri1_LP	0.595 
bri1	NCM	bri1_NCM	0.597 
bri1	NCM	bri1_NCM	0.604 
bri1	NCM	bri1_NCM	0.604 
bri1	NCM	bri1_NCM	0.607 
bri1	NCM	bri1_NCM	0.624 
bri1	NCM	bri1_NCM	0.626 
bri1	NCM	bri1_NCM	0.628 
bri1	NCM	bri1_NCM	0.639 
bri1	NCM	bri1_NCM	0.643 
bri1	LPM	bri1_LPM	0.647 
bri1	LPM	bri1_LPM	0.648 
bri1	LPM	bri1_LPM	0.668 
bri1	LPM	bri1_LPM	0.668 
bri1	LPM	bri1_LPM	0.676 
bri1	LPM	bri1_LPM	0.680 
bri1	LPM	bri1_LPM	0.685 
bri1	LPM	bri1_LPM	0.694 
bri1	LPM	bri1_LPM	0.731 
col0	LPM	col0_LPM	0.762 
col0	LPM	col0_LPM	0.758 
col0	LPM	col0_LPM	0.500 
col0	LPM	col0_LPM	0.672 
col0	LPM	col0_LPM	0.758 
col0	LPM	col0_LPM	0.445 
col0	LPM	col0_LPM	0.630 
col0	LPM	col0_LPM	0.645 
col0	LPM	col0_LPM	0.556 
col0	LPM	col0_LPM	0.734 
col0	LPM	col0_LPM	0.637 
col0	LPM	col0_LPM	0.621 
col0	LPM	col0_LPM	0.675 
col0	LPM	col0_LPM	0.571 
col0	LPM	col0_LPM	0.622 
col0	LPM	col0_LPM	0.354 
col0	LPM	col0_LPM	0.502 
